   3m    6m   yr   mon day
  3.50  3.61 1964.  1. 31.
  3.51  3.63 1964.  2.  7.
  3.52  3.66 1964.  2. 14.
  3.53  3.68 1964.  2. 21.
  3.56  3.72 1964.  2. 28.
  3.56  3.74 1964.  3.  6.
  3.54  3.72 1964.  3. 13.
  3.54  3.72 1964.  3. 20.
  3.54  3.73 1964.  3. 27.
  3.52  3.70 1964.  4.  3.
  3.48  3.69 1964.  4. 10.
  3.47  3.67 1964.  4. 17.
  3.45  3.64 1964.  4. 24.
  3.45  3.60 1964.  5.  1.
  3.49  3.63 1964.  5.  8.
  3.47  3.59 1964.  5. 15.
  3.47  3.60 1964.  5. 22.
  3.47  3.59 1964.  5. 29.
  3.47  3.57 1964.  6.  5.
  3.47  3.57 1964.  6. 12.
  3.49  3.58 1964.  6. 19.
  3.47  3.53 1964.  6. 26.
  3.48  3.51 1964.  7.  3.
  3.48  3.53 1964.  7. 10.
  3.43  3.55 1964.  7. 17.
  3.46  3.61 1964.  7. 24.
  3.46  3.57 1964.  7. 31.
  3.48  3.58 1964.  8.  7.
  3.51  3.62 1964.  8. 14.
  3.50  3.63 1964.  8. 21.
  3.50  3.62 1964.  8. 28.
  3.50  3.64 1964.  9.  4.
  3.52  3.67 1964.  9. 11.
  3.54  3.69 1964.  9. 18.
  3.54  3.70 1964.  9. 25.
  3.55  3.71 1964. 10.  2.
  3.57  3.73 1964. 10.  9.
  3.59  3.72 1964. 10. 16.
  3.58  3.74 1964. 10. 23.
  3.56  3.71 1964. 10. 30.
  3.57  3.73 1964. 11.  6.
  3.58  3.74 1964. 11. 13.
  3.61  3.78 1964. 11. 20.
  3.79  3.96 1964. 11. 27.
  3.82  3.97 1964. 12.  4.
  3.81  3.94 1964. 12. 11.
  3.86  3.95 1964. 12. 18.
  3.86  3.95 1964. 12. 25.
  3.83  3.93 1965.  1.  1.
  3.80  3.92 1965.  1.  8.
  3.77  3.94 1965.  1. 15.
  3.81  3.94 1965.  1. 22.
  3.85  3.94 1965.  1. 29.
  3.89  3.97 1965.  2.  5.
  3.90  3.99 1965.  2. 12.
  3.94  4.02 1965.  2. 19.
  3.99  4.04 1965.  2. 26.
  3.96  4.02 1965.  3.  5.
  3.94  4.01 1965.  3. 12.
  3.92  3.99 1965.  3. 19.
  3.91  3.98 1965.  3. 26.
  3.92  3.99 1965.  4.  2.
  3.93  3.98 1965.  4.  9.
  3.93  4.00 1965.  4. 16.
  3.93  4.00 1965.  4. 23.
  3.91  3.98 1965.  4. 30.
  3.89  3.95 1965.  5.  7.
  3.89  3.96 1965.  5. 14.
  3.90  3.95 1965.  5. 21.
  3.88  3.94 1965.  5. 28.
  3.85  3.92 1965.  6.  4.
  3.81  3.88 1965.  6. 11.
  3.80  3.86 1965.  6. 18.
  3.78  3.82 1965.  6. 25.
  3.81  3.85 1965.  7.  2.
  3.87  3.90 1965.  7.  9.
  3.86  3.93 1965.  7. 16.
  3.82  3.89 1965.  7. 23.
  3.81  3.88 1965.  7. 30.
  3.84  3.94 1965.  8.  6.
  3.83  3.93 1965.  8. 13.
  3.82  3.93 1965.  8. 20.
  3.86  3.96 1965.  8. 27.
  3.88  4.00 1965.  9.  3.
  3.90  4.04 1965.  9. 10.
  3.88  4.04 1965.  9. 17.
  3.94  4.11 1965.  9. 24.
  4.02  4.17 1965. 10.  1.
  4.01  4.17 1965. 10.  8.
  4.01  4.18 1965. 10. 15.
  4.04  4.20 1965. 10. 22.
  4.05  4.19 1965. 10. 29.
  4.07  4.22 1965. 11.  5.
  4.07  4.24 1965. 11. 12.
  4.09  4.25 1965. 11. 19.
  4.11  4.26 1965. 11. 26.
  4.12  4.26 1965. 12.  3.
  4.34  4.47 1965. 12. 10.
  4.41  4.58 1965. 12. 17.
  4.48  4.67 1965. 12. 24.
  4.48  4.67 1965. 12. 31.
  4.54  4.71 1966.  1.  7.
  4.60  4.73 1966.  1. 14.
  4.62  4.73 1966.  1. 21.
  4.58  4.67 1966.  1. 28.
  4.64  4.76 1966.  2.  4.
  4.64  4.78 1966.  2. 11.
  4.67  4.87 1966.  2. 18.
  4.66  4.87 1966.  2. 25.
  4.62  4.81 1966.  3.  4.
  4.63  4.83 1966.  3. 11.
  4.64  4.83 1966.  3. 18.
  4.51  4.71 1966.  3. 25.
  4.52  4.73 1966.  4.  1.
  4.54  4.69 1966.  4.  8.
  4.65  4.78 1966.  4. 15.
  4.65  4.74 1966.  4. 22.
  4.64  4.74 1966.  4. 29.
  4.67  4.80 1966.  5.  6.
  4.61  4.79 1966.  5. 13.
  4.64  4.83 1966.  5. 20.
  4.64  4.83 1966.  5. 27.
  4.59  4.75 1966.  6.  3.
  4.58  4.73 1966.  6. 10.
  4.53  4.63 1966.  6. 17.
  4.40  4.53 1966.  6. 24.
  4.47  4.68 1966.  7.  1.
  4.69  4.85 1966.  7.  8.
  4.87  5.00 1966.  7. 15.
  4.90  5.00 1966.  7. 22.
  4.73  4.89 1966.  7. 29.
  4.82  4.99 1966.  8.  5.
  4.88  5.13 1966.  8. 12.
  5.06  5.37 1966.  8. 19.
  5.02  5.41 1966.  8. 26.
  5.07  5.58 1966.  9.  2.
  5.20  5.71 1966.  9.  9.
  5.42  5.91 1966.  9. 16.
  5.54  5.93 1966.  9. 23.
  5.40  5.69 1966.  9. 30.
  5.39  5.66 1966. 10.  7.
  5.45  5.71 1966. 10. 14.
  5.37  5.61 1966. 10. 21.
  5.23  5.53 1966. 10. 28.
  5.30  5.57 1966. 11.  4.
  5.41  5.68 1966. 11. 11.
  5.39  5.63 1966. 11. 18.
  5.26  5.49 1966. 11. 25.
  5.17  5.26 1966. 12.  2.
  5.16  5.26 1966. 12.  9.
  4.97  5.05 1966. 12. 16.
  4.82  4.93 1966. 12. 23.
  4.80  4.92 1966. 12. 30.
  4.80  4.90 1967.  1.  6.
  4.81  4.84 1967.  1. 13.
  4.71  4.70 1967.  1. 20.
  4.66  4.65 1967.  1. 27.
  4.49  4.49 1967.  2.  3.
  4.54  4.54 1967.  2. 10.
  4.61  4.66 1967.  2. 17.
  4.61  4.69 1967.  2. 24.
  4.46  4.47 1967.  3.  3.
  4.37  4.37 1967.  3. 10.
  4.28  4.21 1967.  3. 17.
  4.15  4.07 1967.  3. 24.
  4.13  4.09 1967.  3. 31.
  3.95  4.00 1967.  4.  7.
  3.85  3.89 1967.  4. 14.
  3.83  3.88 1967.  4. 21.
  3.72  3.81 1967.  4. 28.
  3.72  3.86 1967.  5.  5.
  3.66  3.83 1967.  5. 12.
  3.59  3.79 1967.  5. 19.
  3.50  3.74 1967.  5. 26.
  3.43  3.74 1967.  6.  2.
  3.41  3.77 1967.  6.  9.
  3.57  3.86 1967.  6. 16.
  3.47  3.82 1967.  6. 23.
  3.75  4.17 1967.  6. 30.
  4.20  4.62 1967.  7.  7.
  4.18  4.68 1967.  7. 14.
  4.20  4.77 1967.  7. 21.
  4.25  4.83 1967.  7. 28.
  4.16  4.68 1967.  8.  4.
  4.17  4.79 1967.  8. 11.
  4.21  4.80 1967.  8. 18.
  4.36  4.95 1967.  8. 25.
  4.41  4.87 1967.  9.  1.
  4.30  4.83 1967.  9.  8.
  4.37  4.93 1967.  9. 15.
  4.54  5.05 1967.  9. 22.
  4.47  5.05 1967.  9. 29.
  4.49  5.04 1967. 10.  6.
  4.57  5.04 1967. 10. 13.
  4.62  5.12 1967. 10. 20.
  4.56  5.08 1967. 10. 27.
  4.57  5.07 1967. 11.  3.
  4.64  5.13 1967. 11. 10.
  4.63  5.13 1967. 11. 17.
  4.86  5.44 1967. 11. 24.
  4.93  5.49 1967. 12.  1.
  4.92  5.50 1967. 12.  8.
  4.97  5.50 1967. 12. 15.
  4.98  5.46 1967. 12. 22.
  5.01  5.49 1967. 12. 29.
  5.01  5.40 1968.  1.  5.
  5.07  5.31 1968.  1. 12.
  5.02  5.25 1968.  1. 19.
  4.97  5.16 1968.  1. 26.
  4.85  5.00 1968.  2.  2.
  5.00  5.23 1968.  2.  9.
  4.97  5.15 1968.  2. 16.
  4.97  5.16 1968.  2. 23.
  5.03  5.21 1968.  3.  1.
  5.04  5.23 1968.  3.  8.
  5.26  5.44 1968.  3. 15.
  5.25  5.36 1968.  3. 22.
  5.14  5.32 1968.  3. 29.
  5.20  5.29 1968.  4.  5.
  5.35  5.44 1968.  4. 12.
  5.40  5.51 1968.  4. 19.
  5.50  5.63 1968.  4. 26.
  5.50  5.66 1968.  5.  3.
  5.53  5.72 1968.  5. 10.
  5.68  5.86 1968.  5. 17.
  5.82  6.00 1968.  5. 24.
  5.70  5.86 1968.  5. 31.
  5.66  5.72 1968.  6.  7.
  5.69  5.75 1968.  6. 14.
  5.45  5.58 1968.  6. 21.
  5.30  5.51 1968.  6. 28.
  5.35  5.43 1968.  7.  5.
  5.37  5.44 1968.  7. 12.
  5.38  5.47 1968.  7. 19.
  5.23  5.35 1968.  7. 26.
  5.09  5.25 1968.  8.  2.
  4.96  5.17 1968.  8.  9.
  5.12  5.29 1968.  8. 16.
  5.15  5.24 1968.  8. 23.
  5.19  5.26 1968.  8. 30.
  5.21  5.21 1968.  9.  6.
  5.28  5.32 1968.  9. 13.
  5.18  5.24 1968.  9. 20.
  5.12  5.24 1968.  9. 27.
  5.20  5.31 1968. 10.  4.
  5.32  5.38 1968. 10. 11.
  5.35  5.43 1968. 10. 18.
  5.40  5.43 1968. 10. 25.
  5.48  5.50 1968. 11.  1.
  5.49  5.59 1968. 11.  8.
  5.42  5.61 1968. 11. 15.
  5.43  5.61 1968. 11. 22.
  5.47  5.58 1968. 11. 29.
  5.66  5.77 1968. 12.  6.
  5.84  5.93 1968. 12. 13.
  6.03  6.11 1968. 12. 20.
  6.22  6.36 1968. 12. 27.
  6.20  6.33 1969.  1.  3.
  6.18  6.36 1969.  1. 10.
  6.11  6.26 1969.  1. 17.
  6.11  6.25 1969.  1. 24.
  6.16  6.26 1969.  1. 31.
  6.19  6.34 1969.  2.  7.
  6.09  6.29 1969.  2. 14.
  6.09  6.27 1969.  2. 21.
  6.11  6.30 1969.  2. 28.
  6.11  6.27 1969.  3.  7.
  6.01  6.17 1969.  3. 14.
  6.00  6.16 1969.  3. 21.
  5.94  6.06 1969.  3. 28.
  6.05  6.09 1969.  4.  4.
  6.15  6.16 1969.  4. 11.
  6.20  6.20 1969.  4. 18.
  6.13  6.13 1969.  4. 25.
  5.93  6.02 1969.  5.  2.
  5.98  6.07 1969.  5.  9.
  6.08  6.19 1969.  5. 16.
  6.06  6.13 1969.  5. 23.
  6.10  6.29 1969.  5. 30.
  6.26  6.59 1969.  6.  6.
  6.67  6.90 1969.  6. 13.
  6.56  6.69 1969.  6. 20.
  6.30  6.84 1969.  6. 27.
  6.63  7.01 1969.  7.  4.
  6.96  7.21 1969.  7. 11.
  7.02  7.35 1969.  7. 18.
  7.12  7.31 1969.  7. 25.
  7.09  7.20 1969.  8.  1.
  6.98  7.11 1969.  8.  8.
  7.00  7.26 1969.  8. 15.
  6.87  7.15 1969.  8. 22.
  7.07  7.27 1969.  8. 29.
  7.03  7.25 1969.  9.  5.
  7.11  7.36 1969.  9. 12.
  7.13  7.34 1969.  9. 19.
  7.10  7.31 1969.  9. 26.
  7.06  7.32 1969. 10.  3.
  6.99  7.34 1969. 10. 10.
  7.02  7.30 1969. 10. 17.
  6.94  7.23 1969. 10. 24.
  7.00  7.26 1969. 10. 31.
  7.07  7.38 1969. 11.  7.
  7.15  7.45 1969. 11. 14.
  7.25  7.73 1969. 11. 21.
  7.50  7.89 1969. 11. 28.
  7.60  7.83 1969. 12.  5.
  7.82  7.92 1969. 12. 12.
  7.88  7.89 1969. 12. 19.
  7.84  7.84 1969. 12. 26.
  8.02  8.03 1970.  1.  2.
  7.91  7.92 1970.  1.  9.
  7.83  7.64 1970.  1. 16.
  7.83  7.70 1970.  1. 23.
  7.89  7.80 1970.  1. 30.
  7.61  7.60 1970.  2.  6.
  7.20  7.28 1970.  2. 13.
  6.79  7.00 1970.  2. 20.
  6.88  6.95 1970.  2. 27.
  6.89  6.80 1970.  3.  6.
  6.76  6.66 1970.  3. 13.
  6.71  6.59 1970.  3. 20.
  6.16  6.26 1970.  3. 27.
  6.35  6.42 1970.  4.  3.
  6.40  6.40 1970.  4. 10.
  6.37  6.35 1970.  4. 17.
  6.59  6.74 1970.  4. 24.
  6.86  7.16 1970.  5.  1.
  6.82  6.93 1970.  5.  8.
  6.80  7.01 1970.  5. 15.
  6.73  6.95 1970.  5. 22.
  7.00  7.15 1970.  5. 29.
  6.82  6.86 1970.  6.  5.
  6.76  6.93 1970.  6. 12.
  6.71  6.96 1970.  6. 19.
  6.51  6.80 1970.  6. 26.
  6.46  6.50 1970.  7.  3.
  6.62  6.69 1970.  7. 10.
  6.46  6.52 1970.  7. 17.
  6.34  6.41 1970.  7. 24.
  6.37  6.46 1970.  7. 31.
  6.46  6.60 1970.  8.  7.
  6.53  6.65 1970.  8. 14.
  6.42  6.52 1970.  8. 21.
  6.25  6.45 1970.  8. 28.
  6.37  6.58 1970.  9.  4.
  6.40  6.57 1970.  9. 11.
  6.22  6.48 1970.  9. 18.
  5.80  6.28 1970.  9. 25.
  5.84  6.42 1970. 10.  2.
  6.03  6.35 1970. 10.  9.
  5.95  6.16 1970. 10. 16.
  5.83  6.15 1970. 10. 23.
  5.84  6.07 1970. 10. 30.
  5.56  5.81 1970. 11.  6.
  5.48  5.68 1970. 11. 13.
  5.19  5.31 1970. 11. 20.
  4.99  5.02 1970. 11. 27.
  4.97  4.96 1970. 12.  4.
  4.92  4.94 1970. 12. 11.
  4.77  4.80 1970. 12. 18.
  4.83  4.87 1970. 12. 25.
  4.88  4.89 1971.  1.  1.
  4.84  4.88 1971.  1.  8.
  4.51  4.54 1971.  1. 15.
  4.20  4.22 1971.  1. 22.
  4.20  4.24 1971.  1. 29.
  4.06  4.10 1971.  2.  5.
  3.70  3.75 1971.  2. 12.
  3.56  3.65 1971.  2. 19.
  3.43  3.58 1971.  2. 26.
  3.35  3.44 1971.  3.  5.
  3.28  3.39 1971.  3. 12.
  3.39  3.51 1971.  3. 19.
  3.37  3.54 1971.  3. 26.
  3.61  3.72 1971.  4.  2.
  3.79  3.86 1971.  4.  9.
  3.96  4.09 1971.  4. 16.
  3.81  4.02 1971.  4. 23.
  3.95  4.22 1971.  4. 30.
  3.85  4.20 1971.  5.  7.
  3.96  4.24 1971.  5. 14.
  4.37  4.51 1971.  5. 21.
  4.39  4.48 1971.  5. 28.
  4.30  4.52 1971.  6.  4.
  4.59  4.80 1971.  6. 11.
  4.95  5.17 1971.  6. 18.
  4.87  5.07 1971.  6. 25.
  5.19  5.38 1971.  7.  2.
  5.42  5.55 1971.  7.  9.
  5.38  5.52 1971.  7. 16.
  5.46  5.73 1971.  7. 23.
  5.40  5.78 1971.  7. 30.
  5.29  5.67 1971.  8.  6.
  5.25  5.67 1971.  8. 13.
  4.71  4.86 1971.  8. 20.
  4.68  4.88 1971.  8. 27.
  4.49  4.80 1971.  9.  3.
  4.63  4.92 1971.  9. 10.
  4.80  5.03 1971.  9. 17.
  4.75  5.04 1971.  9. 24.
  4.64  4.95 1971. 10.  1.
  4.53  4.72 1971. 10.  8.
  4.44  4.57 1971. 10. 15.
  4.47  4.56 1971. 10. 22.
  4.36  4.46 1971. 10. 29.
  4.18  4.34 1971. 11.  5.
  4.18  4.37 1971. 11. 12.
  4.14  4.30 1971. 11. 19.
  4.34  4.50 1971. 11. 26.
  4.28  4.42 1971. 12.  3.
  4.11  4.29 1971. 12. 10.
  4.04  4.27 1971. 12. 17.
  4.02  4.26 1971. 12. 24.
  3.73  4.03 1971. 12. 31.
  3.60  3.92 1972.  1.  7.
  3.17  3.44 1972.  1. 14.
  3.32  3.58 1972.  1. 21.
  3.46  3.71 1972.  1. 28.
  3.36  3.78 1972.  2.  4.
  3.10  3.56 1972.  2. 11.
  3.05  3.51 1972.  2. 18.
  3.23  3.64 1972.  2. 25.
  3.45  3.78 1972.  3.  3.
  3.57  3.86 1972.  3. 10.
  3.87  4.27 1972.  3. 17.
  3.82  4.27 1972.  3. 24.
  3.83  4.36 1972.  3. 31.
  3.81  4.39 1972.  4.  7.
  3.82  4.31 1972.  4. 14.
  3.64  4.19 1972.  4. 21.
  3.55  4.01 1972.  4. 28.
  3.57  4.03 1972.  5.  5.
  3.59  4.03 1972.  5. 12.
  3.76  4.23 1972.  5. 19.
  3.80  4.18 1972.  5. 26.
  3.83  4.20 1972.  6.  2.
  3.86  4.25 1972.  6.  9.
  3.87  4.29 1972.  6. 16.
  3.97  4.40 1972.  6. 23.
  3.97  4.51 1972.  6. 30.
  4.07  4.56 1972.  7.  7.
  4.05  4.55 1972.  7. 14.
  3.93  4.47 1972.  7. 21.
  3.94  4.46 1972.  7. 28.
  3.79  4.30 1972.  8.  4.
  3.86  4.38 1972.  8. 11.
  3.90  4.46 1972.  8. 18.
  4.13  4.70 1972.  8. 25.
  4.47  4.92 1972.  9.  1.
  4.71  5.06 1972.  9.  8.
  4.71  5.11 1972.  9. 15.
  4.66  5.14 1972.  9. 22.
  4.60  5.22 1972.  9. 29.
  4.66  5.16 1972. 10.  6.
  4.79  5.16 1972. 10. 13.
  4.78  5.12 1972. 10. 20.
  4.73  5.10 1972. 10. 27.
  4.74  5.08 1972. 11.  3.
  4.71  5.04 1972. 11. 10.
  4.76  5.07 1972. 11. 17.
  4.82  5.10 1972. 11. 24.
  4.88  5.18 1972. 12.  1.
  5.00  5.25 1972. 12.  8.
  5.05  5.27 1972. 12. 15.
  5.15  5.36 1972. 12. 22.
  5.13  5.34 1972. 12. 29.
  5.16  5.42 1973.  1.  5.
